FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation,FromType,ToType
117,15,-0.23944163029759,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
118,15,-0.23944163029759,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
119,15,-0.227893688253535,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
120,2,-0.340207848507852,lm_estimate,AMSC-BODIPYNeg,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
121,15,0.171798621398092,lm_estimate,AMSC-BODIPYPos,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
122,25,0.270023631226,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
123,2,0.407843686839027,lm_estimate,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
124,2,-0.169098518348736,lm_estimate,AMSC-BODIPYPos,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
125,10,-0.55114277144685,lm_estimate,AMSC-BODIPYPos,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
124,66,-0.510206532878361,lm_estimate,AMSC,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
126,2,-0.620706621487742,lm_estimate,AMSC-BODIPYNeg,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
127,15,0.279545784122719,lm_estimate,AMSC,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
128,15,-0.488796093241771,lm_estimate,AMSC,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
122,95,-0.253413261048543,lm_estimate,AMSC,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
129,76,-0.452121032759412,lm_estimate,AMSC-BODIPYNeg,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
130,2,0.357294451658728,lm_estimate,AMSC-BODIPYNeg,D03,vc,FFA,LipocyteProfiler_Feature,Phenotype
131,56,0.660100050968597,lm_estimate,AMSC,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
82,8,0.430650661287589,lm_estimate,AMSC,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
132,25,0.1935483744761,lm_estimate,AMSC-BODIPYNeg,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
125,66,0.510206532878361,lm_estimate,AMSC,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
133,21,0.251396278212211,lm_estimate,AMSC-BODIPYNeg,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
134,105,0.654712895497149,lm_estimate,AMSC-BODIPYNeg,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
135,2,-0.510150314608549,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
136,76,-0.410493404845883,lm_estimate,AMSC-BODIPYNeg,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
137,15,-0.550236036297075,lm_estimate,AMSC-BODIPYNeg,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
77,56,-0.436146379301615,lm_estimate,AMSC-BODIPYNeg,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
138,66,0.4968236658992,lm_estimate,AMSC-BODIPYNeg,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
139,15,-0.280202009479674,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
140,25,-0.281782008907429,lm_estimate,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
141,2,0.254581116531774,lm_estimate,AMSC-BODIPYNeg,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
142,2,0.381470620702158,lm_estimate,AMSC,D03,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
143,2,-0.362453919808823,lm_estimate,AMSC,D03,vc,FFA,LipocyteProfiler_Feature,Phenotype
144,2,0.380369293092792,lm_estimate,AMSC-BODIPYNeg,D03,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
145,2,0.208095730639516,lm_estimate,AMSC,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
146,15,-0.187705743630828,lm_estimate,AMSC-BODIPYPos,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
147,56,-0.611023444796632,lm_estimate,AMSC-BODIPYNeg,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
148,17,0.203524694899911,lm_estimate,AMSC-BODIPYNeg,D00,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
109,33,0.31640406189204,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
124,17,0.203524694899911,lm_estimate,AMSC-BODIPYNeg,D00,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
149,15,-0.227893688253535,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
150,6,-0.278361398326795,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
151,33,-0.24180700367065,lm_estimate,AMSC-BODIPYNeg,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
152,4,-0.251902745659875,lm_estimate,AMSC-BODIPYNeg,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
153,17,-0.217578237899041,lm_estimate,AMSC-BODIPYNeg,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
154,63,-0.236755195589041,lm_estimate,AMSC-BODIPYNeg,D00,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
155,6,0.161985957178797,lm_estimate,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
156,15,0.236567081116017,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
157,105,0.654712895497149,lm_estimate,AMSC-BODIPYNeg,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
158,17,0.293927157533171,lm_estimate,AMSC,D03,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
159,76,0.472323182708499,lm_estimate,AMSC-BODIPYNeg,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
160,2,-0.227868934625629,lm_estimate,AMSC,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
161,2,0.412527415400754,lm_estimate,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
148,2,-0.464735041384335,lm_estimate,AMSC-BODIPYNeg,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
162,2,-0.230449131090677,lm_estimate,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
163,15,0.258090491625992,lm_estimate,AMSC-BODIPYNeg,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
164,2,0.372472998319658,lm_estimate,AMSC,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
165,10,0.467403607179171,lm_estimate,AMSC-BODIPYNeg,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
166,6,0.338071388394424,lm_estimate,AMSC-BODIPYNeg,D03,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
167,2,0.416608918118656,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
168,95,0.291549176569852,lm_estimate,AMSC,D00,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
169,15,-0.185752390609901,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
170,6,-0.20195210465111,lm_estimate,AMSC-BODIPYPos,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
171,105,-0.808263517645832,lm_estimate,AMSC,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
172,12,0.190017351863119,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
173,58,0.222175329870252,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
174,6,-0.213738360107235,lm_estimate,AMSC-BODIPYPos,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
175,23,0.432288667508183,lm_estimate,AMSC,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
176,23,-0.496380002340103,lm_estimate,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
177,4,0.229950603366388,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
178,23,0.423826483323476,lm_estimate,AMSC-BODIPYNeg,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
179,66,-0.463899960571704,lm_estimate,AMSC-BODIPYNeg,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
180,95,0.293569182070114,lm_estimate,AMSC,D00,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
181,4,0.204935043694428,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
182,2,0.279592642679605,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
183,25,0.202269185052794,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
184,6,0.335954414948848,lm_estimate,AMSC-BODIPYNeg,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
185,2,-0.233760693427236,lm_estimate,AMSC-BODIPYNeg,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
186,2,0.194358916392827,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
187,2,0.437260084122089,lm_estimate,AMSC-BODIPYNeg,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
188,63,-0.204982120982065,lm_estimate,AMSC-BODIPYNeg,D00,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
189,63,-0.613314680041104,lm_estimate,AMSC-BODIPYNeg,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
190,2,0.470734675861325,lm_estimate,AMSC,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
